Operacia;PocetPrvkov;TrvanieOperacie
Vloz;1;5064300
DajData/NastavData;1;495100
DajData/NastavData;1;41200
DajData/NastavData;1;28800
Vymaz;0;623500
Vloz;1;25500
DajIndex;1;371800
DajData/NastavData;1;13700
DajData/NastavData;1;13600
DajData/NastavData;1;13200
Vloz;2;429700
DajData/NastavData;2;13700
Vymaz;1;48300
DajData/NastavData;1;13200
DajData/NastavData;1;13000
DajData/NastavData;1;13100
DajIndex;1;15900
DajIndex;1;13200
Vloz;2;10100
DajIndex;2;25200
Vymaz;1;44800
DajData/NastavData;1;14500
DajData/NastavData;1;33400
DajData/NastavData;1;41300
Vloz;2;130600
DajData/NastavData;2;41800
DajData/NastavData;2;34100
DajData/NastavData;2;30800
DajIndex;2;70000
DajData/NastavData;2;21600
Vloz;3;140500
Vymaz;2;35300
DajData/NastavData;2;30000
DajData/NastavData;2;44900
Vymaz;1;124000
DajData/NastavData;1;21500
DajData/NastavData;1;37300
DajData/NastavData;1;32900
Vloz;2;131800
DajIndex;2;38600
DajData/NastavData;2;26900
DajData/NastavData;2;21500
DajData/NastavData;2;30100
DajData/NastavData;2;40900
DajData/NastavData;2;40000
DajData/NastavData;2;34200
DajData/NastavData;2;42000
Vloz;3;145600
Vloz;4;20600
Vloz;5;2199400
DajData/NastavData;5;36000
DajData/NastavData;5;23900
DajIndex;5;112500
DajData/NastavData;5;21000
Vymaz;4;108600
Vloz;5;109700
DajData/NastavData;5;34800
DajData/NastavData;5;32800
Vloz;6;112800
DajData/NastavData;6;36800
Vloz;7;22700
DajData/NastavData;7;45400
Vymaz;6;45800
DajData/NastavData;6;28700
Vloz;7;75800
DajData/NastavData;7;31200
DajData/NastavData;7;27800
DajData/NastavData;7;20200
Vloz;8;57500
Vloz;9;74700
DajData/NastavData;9;34500
DajData/NastavData;9;41100
DajIndex;9;339200
DajData/NastavData;9;40300
DajIndex;9;294400
DajData/NastavData;9;25400
Vloz;10;18500
DajData/NastavData;10;24600
DajData/NastavData;10;27800
Vloz;11;87400
Vymaz;10;53500
Vymaz;9;44500
DajData/NastavData;9;13900
Vloz;10;44600
Vloz;11;44200
DajData/NastavData;11;13300
Vymaz;10;43900
DajData/NastavData;10;13400
DajData/NastavData;10;13200
DajIndex;10;118600
Vloz;11;9600
DajData/NastavData;11;13400
Vloz;12;44600
DajData/NastavData;12;13400
Vymaz;11;44500
DajData/NastavData;11;13300
DajData/NastavData;11;19100
DajData/NastavData;11;14400
DajData/NastavData;11;12900
DajData/NastavData;11;13000
DajData/NastavData;11;13100
DajData/NastavData;11;12800
DajData/NastavData;11;13200
DajData/NastavData;11;13000
Vymaz;10;44000
DajData/NastavData;10;13100
DajData/NastavData;10;13100
Vymaz;9;44900
DajData/NastavData;9;13100
Vymaz;8;49300
DajData/NastavData;8;13400
Vymaz;7;44000
DajData/NastavData;7;13200
DajIndex;7;84000
Vloz;8;10100
Vymaz;7;13500
Vymaz;6;13300
Vymaz;5;50300
DajData/NastavData;5;13400
DajData/NastavData;5;13100
DajData/NastavData;5;13000
DajData/NastavData;5;13100
Vloz;6;9500
Vymaz;5;13700
Vymaz;4;43900
DajData/NastavData;4;13300
DajData/NastavData;4;13400
DajData/NastavData;4;13200
Vloz;5;9800
Vloz;6;44900
Vloz;7;44500
Vymaz;6;44000
DajIndex;6;71400
DajIndex;6;72000
Vymaz;5;13300
Vloz;6;58500
Vloz;7;44900
DajData/NastavData;7;13100
Vloz;8;44200
DajData/NastavData;8;13100
DajData/NastavData;8;12800
Vloz;9;9500
DajData/NastavData;9;13500
DajData/NastavData;9;13100
Vloz;10;44600
DajData/NastavData;10;13100
DajData/NastavData;10;13300
DajData/NastavData;10;13200
Vymaz;9;44800
DajData/NastavData;9;13200
DajData/NastavData;9;13100
DajData/NastavData;9;13000
Vymaz;8;13500
DajData/NastavData;8;13200
DajIndex;8;94700
Vloz;9;13600
DajData/NastavData;9;26700
DajData/NastavData;9;13500
Vloz;10;45000
DajData/NastavData;10;13300
Vymaz;9;44500
DajData/NastavData;9;13500
DajData/NastavData;9;13300
Vloz;10;44900
DajData/NastavData;10;13300
Vloz;11;44600
DajData/NastavData;11;13100
Vloz;12;44400
DajData/NastavData;12;13200
DajData/NastavData;12;24200
DajData/NastavData;12;29900
DajData/NastavData;12;15300
Vymaz;11;52300
DajData/NastavData;11;13600
Vloz;12;45100
Vymaz;11;13500
DajIndex;11;129400
Vymaz;10;44100
DajData/NastavData;10;13200
Vloz;11;9800
Vymaz;10;50000
DajData/NastavData;10;21600
DajData/NastavData;10;13300
Vloz;11;54200
Vloz;12;63000
DajData/NastavData;12;21600
Vymaz;11;23500
DajData/NastavData;11;22500
Vymaz;10;71600
Vymaz;9;21500
DajData/NastavData;9;21400
Vymaz;8;72000
Vymaz;7;23700
DajData/NastavData;7;22100
DajData/NastavData;7;21400
DajData/NastavData;7;21900
Vymaz;6;72300
Vymaz;5;71900
DajData/NastavData;5;22100
DajIndex;5;109500
DajData/NastavData;5;31400
DajData/NastavData;5;20400
DajData/NastavData;5;21500
Vloz;6;72500
DajData/NastavData;6;22200
DajIndex;6;116200
DajData/NastavData;6;23300
Vloz;7;73000
DajData/NastavData;7;24900
