Operacia;PocetPrvkov;TrvanieOperacie
Vloz;1;22600
Vymaz;0;24500
Vloz;1;16000
Vymaz;0;38900
Vloz;1;66500
DajIndex;1;22500
Vymaz;0;25800
Vloz;1;16800
DajData/NastavData;1;23300
DajData/NastavData;1;22200
Vloz;2;17000
Vymaz;1;22800
Vloz;2;17200
DajIndex;2;44400
Vloz;3;17000
Vloz;4;77100
Vymaz;3;76300
Vloz;4;71400
Vloz;5;82000
Vloz;6;17300
DajData/NastavData;6;23800
Vloz;7;75600
Vymaz;6;80700
DajIndex;6;77500
DajIndex;6;96900
Vloz;7;45800
DajData/NastavData;7;13900
Vloz;8;10000
Vloz;9;80700
Vymaz;8;94700
DajData/NastavData;8;22200
Vymaz;7;89600
Vymaz;6;22200
Vloz;7;19600
Vloz;8;17000
Vymaz;7;75300
DajData/NastavData;7;21900
DajData/NastavData;7;27600
Vymaz;6;77900
DajData/NastavData;6;23100
Vymaz;5;117900
Vymaz;4;19400
Vloz;5;90000
Vymaz;4;67700
DajData/NastavData;4;20000
DajIndex;4;104700
DajData/NastavData;4;28300
Vymaz;3;24200
Vloz;4;17200
Vymaz;3;66600
DajData/NastavData;3;20700
Vymaz;2;79300
DajData/NastavData;2;22800
Vymaz;1;91600
Vymaz;0;28800
Vloz;1;26100
Vloz;2;85900
Vloz;3;85600
Vloz;4;16900
DajIndex;4;82400
Vloz;5;61900
DajData/NastavData;5;18200
Vloz;6;64100
Vloz;7;15600
Vymaz;6;68900
Vloz;7;18300
Vloz;8;68200
Vloz;9;73400
Vloz;10;73300
Vloz;11;71800
Vloz;12;15600
Vymaz;11;70900
DajData/NastavData;11;20800
DajData/NastavData;11;19600
Vymaz;10;21200
Vymaz;9;79300
DajIndex;9;182400
Vloz;10;16700
Vloz;11;75900
Vloz;12;15900
Vymaz;11;22700
DajData/NastavData;11;21900
Vloz;12;66100
Vloz;13;61900
Vymaz;12;20300
DajData/NastavData;12;18300
Vloz;13;83100
Vymaz;12;22300
Vloz;13;15800
Vymaz;12;26300
Vloz;13;16300
Vymaz;12;75600
Vymaz;11;73900
Vymaz;10;76600
DajData/NastavData;10;21900
Vloz;11;76400
Vloz;12;77700
Vymaz;11;23100
Vloz;12;63300
DajData/NastavData;12;18900
Vloz;13;77800
DajData/NastavData;13;21000
Vymaz;12;22900
Vymaz;11;86400
Vloz;12;17000
Vymaz;11;115300
Vloz;12;34900
Vloz;13;30900
Vymaz;12;156500
Vloz;13;32000
DajIndex;13;289900
DajData/NastavData;13;35400
