Operacia;PocetPrvkov;TrvanieOperacie
Vloz;1;30000
Vloz;2;17500
Vymaz;1;79800
Vymaz;0;24200
Vloz;1;18600
Vloz;2;83500
Vymaz;1;70300
Vymaz;0;22600
Vloz;1;16000
Vymaz;0;21800
Vloz;1;16500
Vloz;2;28300
Vymaz;1;39600
Vloz;2;26000
Vymaz;1;22500
Vymaz;0;14200
Vloz;1;10600
Vloz;2;46300
Vymaz;1;13800
Vloz;2;10200
Vloz;3;45500
Vymaz;2;14000
Vymaz;1;45200
Vymaz;0;13700
Vloz;1;10200
Vymaz;0;13800
Vloz;1;10400
Vloz;2;10000
Vymaz;1;24800
Vymaz;0;15600
Vloz;1;10700
Vloz;2;10100
Vloz;3;45500
Vloz;4;13800
Vymaz;3;71400
Vloz;4;69400
Vloz;5;80600
Vymaz;4;45200
Vloz;5;62200
Vymaz;4;27200
Vymaz;3;95700
Vymaz;2;24100
Vymaz;1;109300
Vloz;2;95300
Vymaz;1;23600
Vloz;2;16600
Vloz;3;16400
Vloz;4;17100
Vloz;5;17000
DajData/NastavData;5;23000
DajIndex;5;104800
Vymaz;4;78600
Vloz;5;17200
Vloz;6;82300
Vloz;7;68900
Vloz;8;19800
Vloz;9;80100
Vymaz;8;20800
Vymaz;7;66600
Vymaz;6;78700
Vloz;7;133500
Vloz;8;116000
Vloz;9;72900
Vymaz;8;302300
Vloz;9;87700
Vloz;10;14900
Vymaz;9;65700
Vymaz;8;22000
Vymaz;7;70400
Vloz;8;117100
Vymaz;7;36200
Vymaz;6;35600
Vymaz;5;81100
Vloz;6;25900
Vymaz;5;81000
Vymaz;4;79800
Vymaz;3;110600
Vloz;4;71300
Vloz;5;108100
Vloz;6;73900
Vymaz;5;45600
Vymaz;4;44500
Vymaz;3;13300
Vymaz;2;13300
DajIndex;2;25300
Vloz;3;45700
Vymaz;2;51800
Vymaz;1;18800
Vymaz;0;21700
Vloz;1;15100
Vloz;2;16500
Vymaz;1;21600
Vymaz;0;81500
Vloz;1;19500
Vymaz;0;21700
Vloz;1;15900
DajIndex;1;21500
Vymaz;0;29300
Vloz;1;29900
Vymaz;0;20800
Vloz;1;17000
Vloz;2;11200
Vymaz;1;46400
Vymaz;0;13200
Vloz;1;9700
Vloz;2;9400
Vymaz;1;13300
Vymaz;0;13400
Vloz;1;9500
Vloz;2;44800
Vloz;3;45100
Vymaz;2;66600
Vymaz;1;66600
Vloz;2;14100
DajData/NastavData;2;19600
Vymaz;1;22600
Vloz;2;16300
Vymaz;1;20600
Vloz;2;76000
Vloz;3;15600
Vloz;4;15300
Vymaz;3;22400
Vymaz;2;73200
Vloz;3;63000
Vymaz;2;14100
Vloz;3;9700
DajData/NastavData;3;13400
Vloz;4;74000
Vloz;5;15700
Vloz;6;84100
Vloz;7;87500
Vymaz;6;46100
Vymaz;5;78200
Vymaz;4;22400
Vymaz;3;22600
Vloz;4;87000
Vymaz;3;65100
Vymaz;2;80600
Vymaz;1;32700
